iter	RMSE
0	0.2633035826
1	0.2631542999
2	0.2630073197
3	0.2628055122
4	0.2626529928
5	0.2624939391
6	0.2623832565
7	0.2622609013
8	0.2621554859
9	0.2620511585
10	0.2619103108
11	0.2618211113
12	0.2616528136
13	0.2615549453
14	0.2614677922
15	0.2613539852
16	0.2612730796
17	0.261103921
18	0.2609754836
19	0.2608669649
20	0.2607430296
21	0.2605488949
22	0.2604823118
23	0.2603866367
24	0.2602675187
25	0.2601453218
26	0.2600964044
27	0.2599812805
28	0.2598742347
29	0.2597501348
30	0.2596724927
31	0.2595910912
32	0.2594809231
33	0.2593413711
34	0.2592456968
35	0.2591526635
36	0.2590671779
37	0.2589817971
38	0.2588642121
39	0.2587799776
40	0.2586689564
41	0.2585893614
42	0.2584899914
43	0.2583959937
44	0.2582716592
45	0.2581681821
46	0.2580507642
47	0.2579295138
48	0.2577993372
49	0.2577117762
50	0.2576212661
51	0.2575347546
52	0.2574633461
53	0.257332953
54	0.2572032424
55	0.2570720956
56	0.2570201794
57	0.2568963022
58	0.2567966787
59	0.2566741311
60	0.2565908953
61	0.2564875763
62	0.2564210265
63	0.256349279
64	0.2562811969
65	0.2561689717
66	0.256065217
67	0.2559954899
68	0.2558897586
69	0.2557980418
70	0.2557328179
71	0.2556493503
72	0.2555670739
73	0.2554960617
74	0.2554244999
75	0.2553361661
76	0.255250504
77	0.2552108642
78	0.2551468608
79	0.2550820274
80	0.2549814776
81	0.2548261276
82	0.2547263972
83	0.2546618583
84	0.2545741783
85	0.2545310839
86	0.2544255069
87	0.2543266084
88	0.2542479989
89	0.2541878398
90	0.2540895082
91	0.2540114825
92	0.2539233182
93	0.2538174955
94	0.2537199869
95	0.2536429557
96	0.2535793124
97	0.2535197004
98	0.2534228085
99	0.2533533326
100	0.2532908839
101	0.2531925088
102	0.2531232856
103	0.2529843655
104	0.2528962466
105	0.2527947001
106	0.2527142929
107	0.2526509338
108	0.2525769174
109	0.25251365
110	0.2524691072
111	0.2523952714
112	0.2523141098
113	0.252273682
114	0.2521476396
115	0.2520336616
116	0.2519838082
117	0.2519265137
118	0.2518573732
119	0.2517997217
120	0.251729301
121	0.2516680129
122	0.2516332636
123	0.2515974634
124	0.25152729
125	0.2514607463
126	0.2513873323
127	0.2513079361
128	0.2512360818
129	0.2511612056
130	0.2511048971
131	0.2510321983
132	0.2509227666
133	0.250853401
134	0.2507662022
135	0.2507081077
136	0.2506002309
137	0.2505235026
138	0.2504520332
139	0.2503882545
140	0.2502926306
141	0.2502345933
142	0.2501313824
