iter	Passed	Remaining
0	202	201999
1	248	124196
2	268	89214
3	283	70571
4	297	59177
5	311	51619
6	328	46550
7	339	42145
8	353	38875
9	365	36227
10	377	33970
11	389	32102
12	402	30574
13	417	29404
14	431	28348
15	444	27360
16	456	26395
17	470	25650
18	483	24984
19	496	24336
20	509	23731
21	522	23209
22	536	22786
23	549	22350
24	562	21929
25	574	21512
26	586	21142
27	599	20817
28	612	20516
29	624	20192
30	637	19939
31	650	19687
32	663	19453
33	676	19231
34	688	18993
35	702	18800
36	714	18600
37	728	18444
38	742	18287
39	754	18097
40	767	17950
41	780	17803
42	793	17652
43	808	17562
44	820	17402
45	832	17272
46	846	17169
47	859	17048
48	872	16935
49	886	16834
50	898	16727
51	910	16607
52	923	16501
53	935	16394
54	950	16332
55	968	16327
56	981	16231
57	994	16148
58	1007	16068
59	1019	15973
60	1032	15886
61	1047	15840
62	1059	15761
63	1073	15702
64	1086	15622
65	1098	15538
66	1110	15457
67	1121	15375
68	1134	15313
69	1148	15257
70	1160	15186
71	1173	15126
72	1186	15063
73	1200	15017
74	1212	14948
75	1224	14889
76	1238	14842
77	1250	14777
78	1263	14727
79	1276	14675
80	1289	14629
81	1302	14581
82	1314	14517
83	1329	14496
84	1345	14487
85	1359	14448
86	1419	14891
87	1468	15221
88	1490	15259
89	1505	15221
90	1519	15174
91	1531	15119
92	1544	15067
93	1559	15027
94	1571	14974
95	1584	14918
96	1599	14894
97	1612	14844
98	1626	14801
99	1639	14754
100	1652	14705
101	1665	14659
102	1679	14623
103	1692	14577
104	1705	14537
105	1717	14486
106	1730	14442
107	1743	14400
108	1756	14358
109	1773	14347
110	1786	14307
111	1799	14266
112	1812	14225
113	1825	14184
114	1837	14144
115	1850	14099
116	1863	14060
117	1878	14037
118	1891	14001
119	1906	13981
120	1919	13941
121	1930	13894
122	1943	13857
123	1956	13822
124	1970	13794
125	1983	13760
126	1996	13727
127	2010	13694
128	2022	13657
129	2036	13631
130	2049	13593
131	2061	13555
132	2075	13530
133	2089	13502
134	2102	13468
135	2113	13427
136	2126	13392
137	2138	13360
138	2151	13326
139	2162	13286
140	2176	13261
141	2189	13228
142	2201	13194
143	2215	13167
144	2227	13132
145	2239	13102
146	2252	13072
147	2268	13060
148	2282	13033
149	2296	13015
150	2311	12995
151	2323	12961
152	2337	12939
153	2350	12912
154	2362	12881
155	2375	12849
156	2388	12826
157	2402	12804
158	2415	12777
159	2428	12751
160	2440	12715
161	2452	12688
162	2465	12661
163	2479	12638
164	2491	12608
165	2504	12582
166	2517	12555
167	2530	12530
168	2542	12503
169	2554	12469
170	2567	12446
171	2580	12420
172	2591	12387
173	2603	12361
174	2616	12335
175	2628	12308
176	2640	12276
177	2653	12254
178	2666	12230
179	2681	12217
180	2694	12192
181	2706	12163
182	2718	12135
183	2730	12111
184	2743	12088
185	2760	12080
186	2774	12062
187	2786	12035
188	2799	12012
189	2812	11988
190	2824	11961
191	2835	11934
192	2849	11914
193	2861	11889
194	2873	11864
195	2886	11842
196	2898	11816
197	2912	11796
198	2925	11775
199	2938	11753
200	2951	11731
201	2964	11710
202	2976	11687
203	2989	11664
204	3001	11640
205	3013	11616
206	3026	11594
207	3039	11571
208	3050	11544
209	3063	11522
210	3076	11503
211	3089	11484
212	3103	11468
213	3116	11446
214	3130	11431
215	3143	11410
216	3155	11384
217	3166	11358
218	3179	11339
219	3192	11320
220	3205	11298
221	3217	11274
222	3229	11252
223	3242	11231
224	3257	11220
225	3274	11213
226	3293	11215
227	3309	11204
228	3325	11196
229	3341	11186
230	3356	11174
231	3370	11158
232	3383	11138
233	3396	11117
234	3412	11110
235	3424	11086
236	3437	11066
237	3450	11046
238	3462	11024
239	3475	11006
240	3488	10986
241	3501	10968
242	3517	10956
243	3528	10932
244	3541	10915
245	3554	10894
246	3567	10874
247	3579	10853
248	3592	10835
249	3607	10821
250	3619	10800
251	3632	10782
252	3644	10762
253	3657	10742
254	3670	10724
255	3683	10704
256	3697	10688
257	3709	10668
258	3723	10651
259	3735	10632
260	3751	10620
261	3763	10600
262	3775	10581
263	3789	10564
264	3803	10548
265	3816	10532
266	3831	10517
267	3843	10497
268	3855	10478
269	3870	10464
270	3883	10446
271	3896	10428
272	3909	10412
273	3925	10402
274	3939	10386
275	3951	10366
276	3964	10348
277	3977	10330
278	3990	10311
279	4002	10292
280	4016	10276
281	4029	10258
282	4042	10242
283	4054	10222
284	4067	10204
285	4079	10185
286	4092	10167
287	4104	10147
288	4118	10133
289	4131	10115
290	4144	10098
291	4156	10077
292	4169	10061
293	4182	10043
294	4195	10026
295	4208	10009
296	4220	9990
297	4234	9975
298	4248	9959
299	4261	9942
300	4274	9925
301	4286	9908
302	4302	9896
303	4319	9888
304	4333	9873
305	4345	9855
306	4359	9839
307	4372	9823
308	4384	9805
309	4397	9786
310	4409	9769
311	4423	9754
312	4437	9738
313	4450	9722
314	4463	9705
315	4476	9688
316	4489	9672
317	4501	9653
318	4514	9637
319	4528	9623
320	4541	9606
321	4555	9591
322	4566	9571
323	4579	9554
324	4592	9538
325	4604	9520
326	4616	9501
327	4631	9488
328	4644	9473
329	4657	9456
330	4671	9442
331	4683	9423
332	4696	9406
333	4710	9392
334	4725	9380
335	4741	9369
336	4754	9354
337	4767	9337
338	4780	9320
339	4793	9305
340	4806	9288
341	4819	9271
342	4832	9255
343	4845	9239
344	4858	9224
345	4871	9208
346	4883	9190
347	4896	9173
348	4909	9157
349	4921	9139
350	4935	9125
351	4950	9112
352	4961	9093
353	4974	9078
354	4988	9062
355	5000	9046
356	5012	9028
357	5025	9012
358	5038	8996
359	5050	8979
360	5065	8965
361	5078	8950
362	5092	8937
363	5106	8921
364	5118	8904
365	5131	8889
366	5144	8873
367	5157	8857
368	5170	8841
369	5183	8826
370	5195	8808
371	5207	8791
372	5220	8775
373	5232	8758
374	5244	8740
375	5258	8726
376	5270	8709
377	5283	8694
378	5295	8677
379	5307	8659
380	5322	8647
381	5336	8633
382	5350	8620
383	5363	8604
384	5376	8587
385	5389	8572
386	5403	8558
387	5416	8543
388	5428	8527
389	5443	8513
390	5456	8499
391	5468	8481
392	5481	8466
393	5495	8451
394	5507	8435
395	5519	8418
396	5534	8405
397	5548	8392
398	5561	8377
399	5574	8361
400	5587	8346
401	5600	8330
402	5612	8314
403	5626	8299
404	5640	8286
405	5653	8271
406	5668	8259
407	5681	8243
408	5695	8230
409	5709	8216
410	5727	8207
411	5743	8197
412	5757	8183
413	5771	8169
414	5789	8160
415	5801	8143
416	5814	8129
417	5829	8116
418	5843	8102
419	5855	8085
420	5868	8071
421	5882	8057
422	5895	8042
423	5907	8025
424	5922	8012
425	5934	7996
426	5948	7981
427	5961	7966
428	5975	7953
429	5988	7938
430	6000	7922
431	6013	7906
432	6025	7890
433	6038	7875
434	6050	7858
435	6064	7844
436	6077	7830
437	6091	7816
438	6104	7801
439	6116	7784
440	6129	7769
441	6142	7754
442	6155	7740
443	6169	7725
444	6182	7710
445	6196	7697
446	6209	7682
447	6222	7666
448	6235	7652
449	6247	7636
450	6260	7620
451	6272	7604
452	6286	7591
453	6300	7576
454	6314	7563
455	6328	7549
456	6344	7538
457	6357	7523
458	6369	7507
459	6382	7492
460	6396	7478
461	6408	7462
462	6421	7448
463	6435	7433
464	6448	7418
465	6460	7403
466	6473	7388
467	6488	7376
468	6501	7360
469	6512	7344
470	6525	7329
471	6538	7314
472	6552	7300
473	6565	7285
474	6578	7270
475	6592	7256
476	6603	7240
477	6616	7225
478	6629	7210
479	6642	7195
480	6654	7180
481	6667	7165
482	6688	7158
483	6762	7209
484	6818	7240
485	6833	7226
486	6845	7210
487	6859	7196
488	6872	7181
489	6885	7166
490	6899	7152
491	6913	7138
492	6926	7122
493	6939	7107
494	6951	7092
495	6964	7077
496	6978	7062
497	6991	7047
498	7005	7033
499	7018	7018
500	7031	7002
501	7044	6988
502	7055	6971
503	7068	6955
504	7080	6940
505	7093	6925
506	7106	6910
507	7121	6897
508	7135	6882
509	7147	6867
510	7160	6851
511	7172	6836
512	7185	6821
513	7199	6807
514	7213	6793
515	7226	6778
516	7238	6762
517	7250	6747
518	7264	6732
519	7277	6717
520	7289	6701
521	7302	6686
522	7316	6672
523	7328	6657
524	7341	6642
525	7354	6627
526	7370	6615
527	7384	6601
528	7397	6586
529	7409	6571
530	7423	6556
531	7436	6541
532	7451	6528
533	7466	6516
534	7482	6503
535	7497	6490
536	7513	6478
537	7529	6465
538	7543	6451
539	7557	6438
540	7572	6424
541	7585	6409
542	7598	6395
543	7612	6381
544	7629	6369
545	7643	6355
546	7658	6342
547	7672	6328
548	7688	6315
549	7701	6300
550	7716	6287
551	7728	6272
552	7743	6258
553	7755	6243
554	7769	6229
555	7783	6215
556	7795	6200
557	7808	6184
558	7821	6170
559	7834	6156
560	7848	6141
561	7861	6126
562	7874	6112
563	7886	6096
564	7898	6081
565	7913	6068
566	7926	6053
567	7940	6039
568	7954	6025
569	7968	6011
570	7979	5995
571	7991	5979
572	8003	5964
573	8015	5949
574	8027	5933
575	8040	5918
576	8055	5905
577	8068	5890
578	8080	5875
579	8092	5860
580	8105	5845
