iter	Passed	Remaining
0	6	681
1	12	598
2	18	592
3	26	636
4	33	631
5	37	593
6	43	576
7	47	550
8	53	545
9	58	526
10	63	517
11	68	499
12	72	486
13	76	468
14	80	457
15	83	439
16	87	428
17	91	416
18	94	404
19	99	397
20	100	379
21	103	368
22	107	358
23	109	347
24	112	336
25	116	330
26	119	321
27	121	312
28	124	304
29	126	294
30	128	285
31	130	277
32	132	269
33	134	261
34	136	254
35	138	246
36	140	239
37	142	232
38	144	225
39	146	219
40	148	213
41	150	207
42	152	202
43	154	196
44	156	191
45	158	185
46	160	180
47	161	175
48	163	170
49	165	165
50	168	161
51	170	156
52	172	152
53	174	148
54	176	144
55	177	139
56	179	135
57	181	131
58	184	128
59	186	124
60	188	120
61	191	117
62	193	113
63	196	110
64	198	106
65	200	103
66	202	99
67	204	96
68	206	92
69	208	89
70	210	85
71	212	82
72	214	79
73	215	75
74	217	72
75	219	69
76	221	66
77	223	63
78	225	59
79	228	57
80	230	53
81	232	50
82	233	47
83	235	44
84	237	41
85	239	39
86	241	36
87	243	33
88	245	30
89	247	27
90	249	24
91	251	21
92	253	19
93	255	16
94	256	13
95	259	10
96	261	8
97	263	5
98	265	2
99	267	0
