iter	Passed	Remaining
0	328	328133
1	381	190121
2	427	142021
3	450	112234
4	478	95219
5	503	83354
6	563	79876
7	596	73957
8	612	67460
9	626	62037
10	637	57333
11	646	53245
12	657	49907
13	666	46963
14	720	47321
15	758	46618
16	774	44809
17	788	43017
18	799	41304
19	811	39742
20	822	38324
21	833	37046
22	844	35875
23	854	34764
24	866	33782
25	877	32876
26	887	31996
27	900	31254
28	912	30553
29	922	29832
30	934	29196
31	945	28594
32	955	27989
33	966	27457
34	977	26959
35	988	26459
36	999	26006
37	1010	25578
38	1020	25140
39	1032	24770
40	1043	24407
41	1053	24034
42	1064	23696
43	1076	23381
44	1086	23049
45	1097	22755
46	1147	23265
47	1184	23491
48	1202	23342
49	1218	23144
50	1230	22888
51	1241	22635
52	1252	22383
53	1267	22206
54	1281	22016
55	1292	21789
56	1303	21558
57	1315	21358
58	1326	21151
59	1337	20960
60	1348	20754
61	1359	20565
62	1369	20367
63	1380	20186
64	1391	20017
65	1401	19838
66	1415	19714
67	1427	19560
68	1438	19410
69	1448	19250
70	1460	19103
71	1471	18967
72	1484	18851
73	1495	18718
74	1507	18593
75	1517	18447
76	1529	18336
77	1541	18218
78	1551	18091
79	1561	17960
80	1573	17846
81	1582	17719
82	1593	17607
83	1605	17509
84	1615	17393
85	1627	17300
86	1639	17204
87	1649	17095
88	1659	16991
89	1671	16897
90	1681	16796
91	1692	16703
92	1703	16611
93	1713	16513
94	1725	16433
95	1736	16351
96	1746	16259
97	1757	16177
98	1769	16101
99	1779	16014
100	1790	15934
101	1801	15858
102	1811	15773
103	1822	15702
104	1833	15631
105	1844	15558
106	1856	15495
107	1870	15446
108	1880	15375
109	1892	15314
110	1905	15264
111	1918	15210
112	1929	15142
113	1941	15089
114	1953	15032
115	1965	14977
116	1976	14913
117	1988	14866
118	2001	14816
119	2013	14767
120	2025	14710
121	2038	14672
122	2050	14621
123	2060	14558
124	2071	14502
125	2084	14460
126	2096	14412
127	2106	14351
128	2117	14299
129	2130	14257
130	2141	14206
131	2152	14156
132	2163	14106
133	2173	14048
134	2185	14001
135	2196	13951
136	2205	13892
137	2216	13846
138	2226	13790
139	2239	13755
140	2252	13721
141	2263	13678
142	2273	13626
143	2285	13587
144	2298	13554
145	2311	13523
146	2321	13471
147	2332	13427
148	2343	13384
149	2354	13340
150	2365	13297
151	2375	13254
152	2385	13206
153	2396	13167
154	2406	13120
155	2417	13079
156	2428	13040
157	2438	12993
158	2449	12954
159	2460	12917
160	2471	12880
161	2482	12843
162	2493	12805
163	2504	12768
164	2515	12729
165	2526	12691
166	2536	12650
167	2547	12615
168	2562	12601
169	2577	12584
170	2588	12548
171	2598	12510
172	2609	12476
173	2620	12438
174	2632	12411
175	2642	12373
176	2653	12338
177	2666	12312
178	2678	12284
179	2690	12258
180	2702	12227
181	2714	12199
182	2727	12176
183	2739	12148
184	2750	12115
185	2762	12090
186	2774	12060
187	2784	12027
188	2797	12004
189	2809	11977
190	2819	11943
191	2831	11915
192	2843	11890
193	2855	11863
194	2866	11835
195	2878	11808
196	2891	11786
197	2901	11754
198	2914	11729
199	2925	11702
200	2936	11673
201	2947	11644
202	2960	11623
203	2972	11599
204	2983	11571
205	2994	11542
206	3007	11520
207	3016	11487
208	3027	11457
209	3037	11428
210	3047	11394
211	3057	11365
212	3068	11338
213	3078	11305
214	3090	11282
215	3099	11250
216	3110	11222
217	3121	11195
218	3131	11165
219	3142	11140
220	3152	11113
221	3162	11082
222	3173	11058
223	3185	11034
224	3195	11007
225	3206	10980
226	3216	10954
227	3229	10934
228	3240	10911
229	3252	10887
230	3261	10859
231	3274	10840
232	3287	10821
233	3296	10792
234	3309	10775
235	3323	10758
236	3334	10734
237	3344	10706
238	3356	10688
239	3368	10666
240	3378	10638
241	3388	10613
242	3400	10593
243	3410	10567
244	3423	10551
245	3437	10536
246	3449	10516
247	3462	10498
248	3474	10479
249	3487	10462
250	3501	10447
251	3513	10428
252	3523	10403
253	3533	10378
254	3543	10352
255	3555	10331
256	3567	10313
257	3579	10294
258	3588	10267
259	3599	10243
260	3608	10217
261	3620	10197
262	3631	10176
263	3641	10152
264	3653	10132
265	3663	10108
266	3673	10084
267	3683	10059
268	3695	10041
269	3705	10018
270	3716	9998
271	3729	9981
272	3739	9957
273	3751	9939
274	3764	9924
275	3778	9911
276	3791	9895
277	3804	9879
278	3814	9857
279	3823	9831
280	3835	9813
281	3846	9793
282	3855	9769
283	3866	9748
284	3877	9727
285	3887	9705
286	3898	9684
287	3908	9663
288	3918	9640
289	3930	9623
290	3941	9602
291	3950	9577
292	3961	9557
293	3970	9533
294	3981	9514
295	3992	9495
296	4001	9471
297	4012	9451
298	4023	9433
299	4034	9413
300	4044	9392
301	4054	9370
302	4064	9349
303	4075	9330
304	4085	9309
305	4095	9289
306	4106	9269
307	4116	9248
308	4128	9232
309	4140	9216
310	4150	9195
311	4161	9176
312	4172	9158
313	4182	9137
314	4193	9119
315	4202	9096
316	4213	9077
317	4226	9065
318	4237	9047
319	4248	9027
320	4258	9008
321	4267	8985
322	4278	8967
323	4290	8950
324	4303	8938
325	4313	8917
326	4327	8906
327	4341	8894
328	4351	8874
329	4361	8855
330	4374	8841
331	4385	8822
332	4395	8804
333	4408	8789
334	4417	8768
335	4428	8752
336	4441	8738
337	4454	8725
338	4467	8710
339	4479	8694
340	4490	8677
341	4500	8659
342	4510	8640
343	4521	8622
344	4530	8601
345	4544	8589
346	4556	8573
347	4566	8555
348	4576	8537
349	4587	8518
350	4596	8499
351	4607	8482
352	4618	8465
353	4629	8448
354	4640	8430
355	4652	8415
356	4662	8397
357	4673	8381
358	4683	8362
359	4693	8343
360	4705	8329
361	4720	8319
362	4734	8307
363	4748	8297
364	4761	8282
365	4776	8274
366	4794	8270
367	4806	8255
368	4820	8243
369	4835	8233
370	4853	8229
371	4870	8221
372	4884	8211
373	4899	8200
374	4912	8188
375	4926	8176
376	4940	8164
377	4956	8155
378	4973	8148
379	4983	8131
380	4993	8112
381	5006	8100
382	5020	8088
383	5032	8073
384	5043	8056
385	5055	8041
386	5069	8029
387	5083	8018
388	5096	8005
389	5108	7989
390	5119	7973
391	5129	7955
392	5139	7937
393	5149	7920
394	5160	7903
395	5170	7887
396	5181	7869
397	5190	7850
398	5201	7834
399	5213	7820
400	5223	7802
401	5234	7786
402	5244	7769
403	5254	7752
404	5265	7735
